id,question,company_universe,category,expected_answer_type,time_sensitivity,question_style,capability_band,expected_near_v1_behavior,primary_failure_mechanism,secondary_failure_mechanism,expected_best_source,likely_tuning_lever,why_near_v1_might_fail_or_pass,draft_pass_signals
1,"UnitedHealth 這波利空到底比較像短期 shock，還是已經傷到長期投資論點？","UNH","recent_news_or_event_impact","近期事件整理+投資論點判斷","recent","natural","core","should_pass","tool_routing_error","evidence_synthesis_limit","Tavily","none","單公司近期新聞題，trusted domains 理論上有足夠 coverage；重點是 near-V1 能否先抓到主要事件，再用保守但清楚的方式判斷是短期 shock 還是結構性壓力。","[""至少提到兩個具體事件或訊號"",""區分短期 shock 與結構性壓力"",""結論要明確連回近期新聞依據""]"
2,"Disney 最近這些麻煩，真正該看串流、票房，還是 parks 的訊號？","DIS","recent_news_or_event_impact","分部訊號取捨+近期敘事判斷","recent","natural","boundary","may_pass_with_tuning","source_coverage_gap","evidence_synthesis_limit","mixed","max_tool_calls","這題需要把近期新聞敘事跟公司長期分部結構接起來；near-V1 容易只抓單一 headline，忽略不同 segment 的重要性排序。","[""至少涵蓋兩個不同 segment 的訊號"",""明確說出目前最該看的核心分部"",""證據不足的分部判斷要保留""]"
3,"Boeing 最近的問題主要卡在監管、交付，還是需求面？","BA","recent_news_or_event_impact","問題歸因+近期風險排序","recent","natural","boundary","may_pass_with_tuning","tool_routing_error","source_coverage_gap","mixed","tool_description","題面像新聞題，但如果只看新聞容易把多條敘事混在一起；near-V1 要先找對 source，再把監管、交付、需求拆清楚。","[""至少區分監管、交付、需求三條敘事"",""指出目前主因是哪一條"",""不要把市場情緒直接當成已確認事實""]"
4,"最近 AI cycle 跟出口限制的雜訊很多，TSM 跟 ASML 誰比較直接暴露？如果證據不夠也請直說。","TSM|ASML","recent_news_or_event_impact","相對暴露度比較+不確定性揭露","recent","natural","boundary","should_fail_cleanly","overreach_vs_abstain","source_coverage_gap","Tavily","tavily_sources","這題刻意放在 news coverage gap 上，且公司不是典型 SEC-first；near-V1 如果證據不足，應該保守收斂，而不是把供應鏈敘事硬講成已確認風險。","[""只根據可確認新聞做相對判斷"",""明確指出哪些部分目前無法確認"",""不能把宏觀敘事包裝成公司已發生事實""]"
5,"SMCI 最近這堆負面 headline，已經足夠代表基本面真的惡化了嗎？","SMCI","recent_news_or_event_impact","headline 與基本面區分+證據邊界說明","recent","natural","beyond_boundary","should_fail_cleanly","source_coverage_gap","overreach_vs_abstain","Tavily","tavily_sources","這題專門看 near-V1 會不會被高波動 headline 帶著走；如果 trusted domains 的可確認資訊不夠，正確行為應該是明確說明證據邊界。","[""區分 headline、指控與已確認事實"",""如果證據不足要直接說不能下強結論"",""只能描述目前可確認的風險層級""]"
6,"分析 Johnson & Johnson 目前最重要的 talc / legal overhang，區分已知負債與仍具不確定性的部分。","JNJ","regulatory_or_legal_risk","法律風險拆解+已知/未知區分","stable","analysis","core","should_pass","tool_routing_error","overreach_vs_abstain","SEC","none","這題重點是看 near-V1 會不會正確走 SEC，而不是被新聞帶偏；官方揭露足以支撐高層次的已知/未知拆解。","[""區分已知負債與未決不確定性"",""以官方揭露為主要依據"",""給出清楚的風險結論""]"
7,"Google 現在碰到的 antitrust 風險，到底哪些已經在發生，哪些還只是潛在壓力？","GOOGL","regulatory_or_legal_risk","已發生 vs 潛在風險區分","recent","natural","boundary","may_pass_with_tuning","tool_routing_error","evidence_synthesis_limit","mixed","tool_description","題面很自然，但其實需要把近期 antitrust 進展和公司受影響業務面對上；near-V1 容易只摘新聞標題，沒有做風險分層。","[""至少涵蓋兩條主要 antitrust front"",""區分已發生行動與潛在壓力"",""不要把媒體推測當成已落地結果""]"
8,"UnitedHealth 這類醫療保險公司的 reimbursement 壓力，現在已經在官方揭露裡看到長期傷害了嗎？","UNH","regulatory_or_legal_risk","官方揭露解讀+長期影響判斷","stable","natural","boundary","may_pass_with_tuning","tool_routing_error","overreach_vs_abstain","SEC","prompt","這題看 near-V1 會不會把抽象監管壓力收斂成官方已揭露的具體風險；如果 SEC 沒有直接支持強結論，就應該收斂。","[""優先依官方揭露回答"",""區分短期 pressure 與長期 earnings power 傷害"",""沒有直接證據的部分不能硬推""]"
9,"分析在 DMA / antitrust 新局下，Apple 跟 Meta 哪家的直接商業衝擊比較大。","AAPL|META","regulatory_or_legal_risk","雙公司監管衝擊比較","recent","analysis","boundary","may_pass_with_tuning","evidence_synthesis_limit","tool_routing_error","mixed","max_tool_calls","這題需要比較兩家公司受衝擊的業務面，不能只堆監管名詞；near-V1 容易因 mixed-source 和雙公司比較而漏掉一邊。","[""比較兩家公司受衝擊的具體業務面"",""區分已執行合規措施與潛在商業影響"",""給出相對判斷而不是平鋪直敘""]"
10,"這波美歐監管收緊下，AAPL、GOOGL、META 裡面誰的風險最難量化？","AAPL|GOOGL|META","regulatory_or_legal_risk","多公司風險可量化性比較","recent","natural","beyond_boundary","may_pass_with_tuning","multi_entity_overload","source_coverage_gap","mixed","max_tool_calls","這題故意把三家監管敘事放在一起，觀察 near-V1 在多公司、多事件下會不會失去比較能力或過度自信。","[""至少說清三家公司風險來源的差異"",""指出哪家的風險最難量化及原因"",""對無法直接比較的部分要保留""]"
