candidate_id,ticker,fiscal_year,accession_number,sector,market_cap_bucket,target_item,query_type,generation_mode,investor_intent,answer_requirement,question,validation_status,question_review_decision,question_review_comment
n01,NEE,2025,0000753308-26-000015,Utilities,large,7,passage,intent_first,Understand whether regulated capital deployment translated into earnings growth.,One independently sufficient span must explain how growth in FPL's regulatory capital base affected 2025 earnings; a span stating only capital spending or an earnings amount is partial.,How did growth in FPL's regulatory capital base affect its 2025 earnings?,pending_full_traversal,,
n02,LLY,2025,0000059478-26-000013,Health Care,large,7,passage,intent_first,Identify the operating drivers behind company-level revenue growth.,One independently sufficient span must identify the principal company-disclosed drivers of Lilly's 2025 revenue growth; a span containing only the growth rate is partial.,What were the principal drivers of Lilly's 2025 revenue growth?,pending_full_traversal,,
n03,PLD,2025,0001193125-26-051453,Real Estate,large,7,passage,intent_first,Understand the operating causes of rental-revenue movement.,One independently sufficient span must explain the principal driver or drivers of Prologis's 2025 rental-revenue change; an isolated revenue amount or percentage is partial.,What drove the change in Prologis's rental revenue in 2025?,pending_full_traversal,,
n04,XOM,2025,0000034088-26-000045,Energy,large,7,passage,intent_first,Connect commodity-price movements to the company's earnings performance.,One independently sufficient span must explain the earnings effect of crude-oil and natural-gas price changes in 2025; a span that only reports commodity prices is partial.,How did changes in crude oil and natural gas prices affect ExxonMobil's 2025 earnings?,pending_full_traversal,,
n05,COST,2025,0000909832-25-000101,Consumer Staples,large,7,passage,intent_first,Understand the business drivers of comparable-sales performance.,One independently sufficient span must explain the principal disclosed driver or drivers of Costco's fiscal 2025 comparable-sales growth; a span containing only the growth percentage is partial.,What drove Costco's comparable-sales growth in fiscal 2025?,pending_full_traversal,,
n06,COIN,2025,0001679788-26-000015,Financials,mid,7,passage,intent_first,Understand the operating drivers of transaction-revenue movement.,One independently sufficient span must explain the principal disclosed driver or drivers of Coinbase's 2025 transaction-revenue change; an isolated revenue amount is partial.,What drove the change in Coinbase's transaction revenue in 2025?,pending_full_traversal,,
n07,AXON,2025,0001628280-26-011360,Industrials,mid,1,passage,intent_first,Understand how subscription offerings support recurring revenue.,One independently sufficient span must explain how Axon's subscription offerings contribute to its recurring-revenue model; a product list without the business-model connection is partial.,How do Axon's subscription offerings support its recurring-revenue model?,pending_full_traversal,,
n08,DECK,2026,0001628280-26-037664,Consumer Discretionary,mid,1,factoid,intent_first,Identify the brands that define the company's product portfolio.,One independently sufficient span must identify all brands Deckers presents as its principal product brands; a span naming only one brand is partial unless the filing states that it is the sole principal brand.,Which brands does Deckers identify as its principal product brands?,pending_full_traversal,,
n09,PODD,2025,0001145197-26-000028,Health Care,mid,1C,passage,intent_first,Understand how responsibility for cybersecurity risk is governed.,One independently sufficient span must explain how Insulet allocates oversight or management responsibility for cybersecurity risk; a generic statement that cybersecurity is important is partial.,How is responsibility for cybersecurity risk oversight allocated at Insulet?,pending_full_traversal,,
n10,JPM,2025,0001628280-26-008131,Financials,large,7A,factoid,intent_first,Quantify net-interest-income exposure to an upward interest-rate shock.,One independently sufficient span must state the estimated direction and amount or percentage effect on JPMorganChase's net interest income from a 100-basis-point upward rate shift at year-end 2025.,How sensitive was JPMorganChase's net interest income to a 100-basis-point upward shift in interest rates at year-end 2025?,pending_full_traversal,,
