review_scope,ticker,fiscal_year,items,generation_mode,round1_query_type,round1_question,round1_snippet_preview,round1_decision,round1_reviewer_comment,round2_query_type,round2_question,answer_requirement,curation_note,change_summary,acceptable_occurrence_count,round2_snippet_previews,candidate_id,round2_decision,round2_reviewer_comment
active,PODD,2025,Item 7,intent_first,passage,What threatens collection of the EOFlow trade-secret award?,We have not recorded the damages awarded in our consolidated statements of incom,o,,passage,What threatens collection of the EOFlow trade-secret award?,One independently sufficient occurrence must identify EOFlow's appeal and uncertain ability to satisfy the damages award as threats to collection.,This passage identifies a company-specific legal judgment and tests retrieval of appeal and collectability risks that could prevent Insulet from realizing the award.,"The approved question remains unchanged. After the Item 8 exclusion, the Item 7 occurrence states both EOFlow's appeal and its uncertain ability to satisfy the award.",1,"[{""occurrence_id"": ""PODD-2025-167285"", ""item"": ""Item 7"", ""location"": ""Liquidity and Capital Resources / Legal Proceedings"", ""snippet"": ""We have not recorded the damages awarded in our consolidated statements of income as EOFlow has appealed and EOFlow’s ability to satisfy the damages award is uncertain.""}]",p20,,
active,CAT,2025,Item 7,passage_first,passage,How much could tariffs cost without planned mitigation?,"If we do not take the mitigating actions we plan to take in 2026, the impact fro",o,,passage,How much could tariffs cost without planned mitigation?,One independently sufficient occurrence must state the relative tariff impact if Caterpillar does not take its planned 2026 mitigation actions; an inferred dollar amount is not acceptable.,This passage quantifies Caterpillar’s 2026 tariff exposure and the additional downside if its countermeasures are not implemented.,"Round 1 was approved, and full traversal found one independently sufficient occurrence expressing the no-mitigation impact as around 20 percent higher.",1,"[{""occurrence_id"": ""CAT-2025-126153"", ""item"": ""Item 7"", ""location"": ""OVERVIEW / Full-Year 2026 Company Trends and Expectations"", ""snippet"": ""If we do not take the mitigating actions we plan to take in 2026, the impact from tariffs could be around 20 percent higher.""}]",p25,,
active,NEE,2025,Item 7,passage_first,passage,How sensitive were retirement obligations to cost inflation assumptions?,"For example, an increase of 0.25% in the assumed escalation rates for nuclear de",o,,passage,How sensitive were retirement obligations to cost inflation assumptions?,One independently sufficient occurrence must quantify how a change in the nuclear-decommissioning cost-escalation assumption would affect NEE's retirement obligations.,This passage links NEE’s estimation methodology to a quantified $179 million sensitivity from a 0.25% escalation-rate increase.,Full traversal confirmed that the Round 1 question and evidence remain valid. The filing contains one quantitative occurrence linking a 0.25% increase in the nuclear-decommissioning cost escalation assumption to a $179 million increase in NEE's AROs.,1,"[{""occurrence_id"": ""NEE-2025-240952"", ""item"": ""7"", ""location"": ""Critical Accounting Estimates / Decommissioning and Dismantlement / Nature of Accounting Estimates"", ""snippet"": ""For example, an increase of 0.25% in the assumed escalation rates for nuclear decommissioning costs would increase NEE’s AROs as of December 31, 2025 by approximately $179 million.""}]",p28,,
active,XOM,2025,Item 1,passage_first,passage,How does ExxonMobil cultivate and retain long-tenured career employees?,Our career-oriented approach to talent development results in strong retention a,o,,passage,How does ExxonMobil cultivate and retain long-tenured career employees?,One independently sufficient occurrence must connect ExxonMobil's career-oriented talent-development approach to employee retention or tenure.,"This evidence links individualized development, roughly 30-year average tenure, and performance-based rewards, testing retrieval of ExxonMobil’s specific workforce strategy.","Round 1 approved this question and evidence. Full traversal found one independently sufficient occurrence of the approved retention and tenure answer, so the candidate remains unchanged.",1,"[{""occurrence_id"": ""XOM-2025-009208"", ""item"": ""Item 1"", ""location"": ""Business / talent development"", ""snippet"": ""Our career-oriented approach to talent development results in strong retention and an average length of service of about 30 years for our career employees.""}]",p31,,
active,COIN,2025,Item 1,passage_first,passage,What happens to underlying Ether when cbETH changes hands?,Selling or otherwise transferring cbETH automatically transfers ownership of the,o,,passage,What happens to underlying Ether when cbETH changes hands?,One independently sufficient occurrence must explain what happens to ownership of underlying staked Ether when cbETH is sold or transferred.,"This evidence explains cbETH ownership and transfer mechanics, testing retrieval of a product-specific consequence of selling or transferring the token.","Round 1 was approved, and full traversal found one independently sufficient occurrence.",1,"[{""occurrence_id"": ""COIN-2025-038286"", ""item"": ""Item 1"", ""location"": ""Business / Staking"", ""snippet"": ""Selling or otherwise transferring cbETH automatically transfers ownership of the underlying staked ETH, along with any rewards earned.""}]",p38,,
active,GOOGL,2025,Item 1C,passage_first,factoid,Who independently evaluates Alphabet's cyber defenses?,Internal Audit maintains a dedicated cybersecurity auditing team that independen,o,但是這個 query 是蠻罕見的問題，不會優先選這題,factoid,Who independently evaluates Alphabet's cyber defenses?,One independently sufficient occurrence must identify who independently tests Alphabet's cybersecurity controls.,This evidence identifies the specific internal function responsible for independent control testing and tests retrieval of Alphabet’s cybersecurity oversight structure.,Round 1 approved the evidence contract. Full traversal found one independently sufficient occurrence identifying Internal Audit; the Round 1 concern about query frequency remains a human filtering decision.,1,"[{""occurrence_id"": ""GOOGL-2025-123761"", ""item"": ""Item 1C"", ""location"": ""Cybersecurity / governance and oversight"", ""snippet"": ""Internal Audit maintains a dedicated cybersecurity auditing team that independently tests our cybersecurity controls.""}]",p41,,
active,CAT,2025,Item 1C,passage_first,factoid,How frequently does Caterpillar's IT chief attend Audit Committee meetings?,"The Company’s Chief Information Officer & Senior Vice President, Caterpillar IT",o,但是這個 query 是很罕見的問題，不會優先選這題，沒什麼評估意義,factoid,How frequently does Caterpillar's IT chief attend Audit Committee meetings?,One independently sufficient occurrence must state how frequently Caterpillar's CIO attends Audit Committee meetings.,This evidence provides a company-specific meeting cadence and tests retrieval of Caterpillar's cybersecurity governance practices.,The evidence contract is correct and full traversal found one independently sufficient occurrence. The Round 1 concern is candidate value and remains a human filtering decision.,1,"[{""occurrence_id"": ""CAT-2025-105817"", ""item"": ""Item 1C"", ""location"": ""Cybersecurity Governance"", ""snippet"": ""The Company’s Chief Information Officer & Senior Vice President, Caterpillar IT (the “CIO”) attends all bimonthly AC meetings and provides cybersecurity updates to the AC and board.""}]",p42,,
active,AXON,2025,Item 7 | Item 7A,passage_first,factoid,How much credit could Axon draw at year-end 2025?,"As of the year ended December 31, 2025, there was no amount outstanding under th",o,,factoid,How much credit could Axon draw at year-end 2025?,One independently sufficient span must state Axon's available borrowing under its line of credit at year-end 2025.,This evidence gives Axon’s exact unused borrowing capacity and tests retrieval of a dated liquidity fact.,The approved question remains unchanged. Two reachable non-Item-8 store occurrences independently report $291.1 million of available borrowing.,2,"[{""occurrence_id"": ""AXON-2025-198921"", ""item"": ""7"", ""location"": ""Liquidity and Capital Resources"", ""snippet"": ""As of December 31, 2025, we had letters of credit outstanding of approximately $8.9 million under the facility and available borrowing of $291.1 million.""}, {""occurrence_id"": ""AXON-2025-226300"", ""item"": ""7a"", ""location"": ""Interest Rate Risk"", ""snippet"": ""As of the year ended December 31, 2025, there was no amount outstanding under the line of credit, and the available borrowing under the line of credit was $291.1 million.""}]",p43,,
active,COST,2025,Item 7A,passage_first,factoid,Impact of one-percentage-point rate shift on Costco investments,A 100 basis point change in interest rates as of the end of 2025 would have had,o,,factoid,Impact of one-percentage-point rate shift on Costco investments,One independently sufficient span must state the fair-value effect of a 100-basis-point interest-rate change on Costco's investments at fiscal 2025 year-end.,This evidence quantifies a company-specific sensitivity scenario and tests retrieval of the resulting valuation impact.,The approved question and its sole independently sufficient occurrence remain unchanged.,1,"[{""occurrence_id"": ""COST-2025-111712"", ""item"": ""Item 7A"", ""location"": ""Interest Rate Risk"", ""snippet"": ""A 100 basis point change in interest rates as of the end of 2025 would have had an immaterial incremental change in fair market value.""}]",p44,,
active,DDOG,2025,Item 7 | Item 7A,passage_first,factoid,Timing and size of Datadog's 2029 debt issuance,"In December 2024, we issued $1.0 billion aggregate principal amount of the 2029",o,,factoid,Timing and size of Datadog's 2029 debt issuance,One independently sufficient span must state both when Datadog issued the 2029 Notes and their aggregate principal amount.,"This sentence provides a company-specific issuance date and principal amount, testing retrieval of a precise financing fact.","The approved Round 1 question remains unchanged. After the Item 8 exclusion, the Item 7 and Item 7A filing-store occurrences each state both the issuance timing and principal amount.",2,"[{""occurrence_id"": ""DDOG-2025-245545"", ""item"": ""Item 7"", ""location"": """", ""snippet"": ""In December 2024, we issued $1.0 billion aggregate principal amount of the 2029 Notes in a private placement to qualified institutional buyers pursuant to Rule 144A under the Securities Act.""}, {""occurrence_id"": ""DDOG-2025-259341"", ""item"": ""7a"", ""location"": """", ""snippet"": ""In December 2024, we issued $1.0 billion aggregate principal amount of the 2029 Notes.""}]",p45,,
