id,question,pass_criterion_1,pass_criterion_2,pass_criterion_3,category,data_sources_needed,expected_answer_type,why_v1_likely_fails,target_version
1,"If US-China relations continue to deteriorate, how badly would NVDA be affected?",Must mention the specific proportion or magnitude of China / Data Center China revenue relative to total revenue,"Must mention US export restrictions on specific chip models, such as H100/A100 or later models","Must mention the downgraded chips NVDA developed in response to the restrictions, such as the H800/A800 series",geopolitical_risk,10-K Risk Factors + revenue geographic breakdown,Impact analysis + specific quantitative support,A concrete answer requires pulling China's revenue share and export-restriction language from 10-K Risk Factors instead of speaking in generalities.,v2
2,"Besides selling cars, what else does TSLA make money from? And are those revenue streams stable?","Must list at least three non-automotive revenue sources, such as energy storage, services, and regulatory credits",Must mention a specific recent quarterly amount or share for regulatory credits,Must point out the unpredictability or declining trend of regulatory credits revenue,business_model,10-K segment description + quarterly segment revenue,Business explanation + trend judgment,Details on regulatory credits and the energy business sit inside 10-K segment disclosures and require multi-quarter trend data.,v2+v3
3,"If I have to choose between NVDA and AMD, which one is more worth buying right now?","Must provide at least two valuation metrics for each company, such as P/E, P/S, or PEG, and compare them",Must mention their competitive positioning in the data center GPU market,"Must mention at least one core risk for each company, such as NVDA's high valuation or AMD's still-small share",stock_pick,Valuation metrics + 10-K competitive positioning + risk factors,Integrated recommendation + reasons,This requires valuation-metric comparison (v3) plus qualitative analysis of each company's competitive advantages and risks (v2 from 10-K).,v2+v3
4,Is all the money META is spending on the metaverse actually worth it? Are the losses narrowing at all?,Must provide specific Reality Labs operating loss figures for the last 2-3 quarters,"Must explicitly answer whether losses are widening or narrowing, with numeric support",Must mention META's official strategic positioning or timeline expectations for Reality Labs investment,investment_thesis,10-K strategy section + quarterly segment financials,Strategic assessment + numeric trend,This requires 10-K strategy disclosures (v2) plus a multi-quarter trend in Reality Labs operating losses (v3).,v2+v3
5,AI-related stocks have already gone up a lot. Which ones still look reasonably valued right now?,Must recommend at least 3 specific companies,Each company must include at least one valuation metric showing why it is still reasonably valued,Must explain each company's connection to AI rather than just calling it an AI stock,screening,P/E + PEG + revenue growth + AI revenue exposure,Screening list + reasons,This requires screening across multiple companies for AI relevance plus reasonable valuation metrics.,v3
6,Has AAPL started getting targeted by antitrust scrutiny recently? What are the potential risks to the stock price?,"Must mention the specific directions of the DOJ antitrust allegations, such as App Store monopoly or messaging lock-in",Must mention possible remedies or the scale of fines,Must distinguish between confirmed legal actions and potential future risk,regulatory_risk,10-K Legal Proceedings + Risk Factors,Risk assessment,"Details of antitrust litigation live in 10-K Legal Proceedings, and news from Tavily may not be deep enough.",v2
7,I want some tech companies with very strong cash flow that are also willing to buy back a lot of stock. What are some options?,Must recommend at least 3 companies,Each company must include a specific FCF or FCF margin number,Each company must include a specific recent buyback amount or a ratio relative to net income,screening,Free cash flow + buyback data + net income,Screening list + data,This requires cross-company screening on both FCF margin and buyback-to-net-income ratio.,v3
8,Could GOOGL's search business get disrupted by AI products like ChatGPT? And what does the company itself think?,"Must quote or summarize Google's own response to AI competition from an official document, such as a 10-K or earnings call","Must mention Google's own AI product response, such as Gemini or AI Overview",The answer cannot rely only on media views; it must include the company's own view,competitive_threat,10-K MD&A + Risk Factors,Company-view summary + analysis,Google's own response strategy is described more concretely in 10-K MD&A than in media reporting.,v2
9,Has AWS growth started slowing down recently? And how does it compare with Azure?,Must provide specific revenue or YoY growth numbers for AWS and Azure across at least the last 2 quarters,Must clearly compare the difference in growth rates,Must mention at least one reason for slowdown or acceleration based on company explanation rather than guesswork,segment_comparison,Quarterly cloud segment data + 10-K MD&A,Data comparison + company explanation,This requires multi-quarter cloud-segment data for both AMZN and MSFT (v3) plus company explanations for the slowdown from 10-K disclosures (v2).,v2+v3
10,"If the US economy goes into recession, which of these tech stocks are the most defensive? (AAPL MSFT GOOGL AMZN META NVDA)",Must give a judgment on all 6 companies rather than discussing only a subset,"Must support the ranking with at least two financial dimensions, such as recurring-revenue share, margin stability, or balance-sheet strength",Each dimension must include specific numbers rather than only qualitative statements,defensive_analysis,Gross margin trend + debt ratio + recurring revenue percentage,Ranking + reasons,"This requires comparing multiple dimensions such as margin stability, recurring-revenue share, and balance-sheet strength.",v3
