id,question,target_version,category,why_v1_likely_fails,data_sources_needed,expected_answer_type,pass_criteria
1,"如果中美關係繼續惡化，NVDA 會受多大影響？",v2,geopolitical_risk,需要從 10-K Risk Factors 找出中國營收佔比和出口限制描述才能具體回答而非泛泛而談,10-K Risk Factors + revenue geographic breakdown,影響分析+具體數據佐證,"(1) 必須提到中國/Data Center China 營收佔總營收的具體比例或量級 (2) 必須提到美國政府出口管制對特定晶片型號的限制（如 H100/A100 或後續型號） (3) 必須提到 NVDA 為應對限制而開發的降規版晶片（如 H800/A800 系列）"
2,"TSLA 除了賣車以外還靠什麼賺錢？那些收入穩定嗎？",v2+v3,business_model,regulatory credits 和 energy 業務細節在 10-K segment 中且需要多季趨勢數據,10-K segment description + quarterly segment revenue,業務說明+趨勢判斷,"(1) 必須列出至少三個非汽車銷售收入來源（energy storage、services、regulatory credits 等） (2) 必須提到 regulatory credits 的具體近期季度金額或佔比 (3) 必須指出 regulatory credits 收入的不可預測性或遞減趨勢"
3,"我在 NVDA 和 AMD 之間選一支，哪個比較值得現在買？",v2+v3,stock_pick,需要估值指標比較(v3) + 各自競爭優勢和風險的質性分析(v2 from 10-K),valuation metrics + 10-K competitive positioning + risk factors,綜合推薦+理由,"(1) 必須提供兩家的至少兩個估值指標數字（P/E、P/S、PEG 等）做對比 (2) 必須提到兩家在 data center GPU 市場的競爭態勢 (3) 必須提到至少一個各自的核心風險（如 NVDA 估值過高、AMD 市佔仍小等）"
4,"META 花那麼多錢在元宇宙上到底值不值得？有在收斂虧損嗎？",v2+v3,investment_thesis,需要 10-K 策略描述(v2) + Reality Labs 多季 operating loss 趨勢(v3),10-K strategy section + quarterly segment financials,策略評估+數據趨勢,"(1) 必須提供 Reality Labs 近 2-3 季的 operating loss 具體數字 (2) 必須明確回答虧損是擴大還是收斂（帶數據佐證） (3) 必須提到 META 官方對 Reality Labs 投資的策略定位或時程預期"
5,"AI 概念股已經漲很多了，現在還有哪些估值合理的可以考慮？",v3,screening,需要在多家公司中篩選 AI 相關 + 估值指標合理的組合,P/E + PEG + revenue growth + AI revenue exposure,篩選清單+理由,"(1) 必須推薦至少 3 家具體公司 (2) 每家必須附上至少一個估值指標數字說明為何算「合理」 (3) 必須說明每家公司的 AI 業務關聯性是什麼（不能只說「AI 概念股」）"
6,"AAPL 最近是不是開始被反壟斷盯上了？對股價有什麼潛在風險？",v2,regulatory_risk,反壟斷訴訟細節在 10-K Legal Proceedings 中且 Tavily 搜到的新聞可能不夠深入,10-K Legal Proceedings + Risk Factors,風險評估,"(1) 必須提到 DOJ 反壟斷訴訟的具體指控方向（如 App Store 壟斷、messaging lock-in 等） (2) 必須提到可能的補救措施或罰款量級 (3) 必須區分已確定的法律行動 vs 潛在風險"
7,"我想找一些現金流很強、又願意大量回購股票的科技公司，有哪些選擇？",v3,screening,需要同時篩選 FCF margin 和 buyback/net income ratio 跨多家公司,free cash flow + buyback data + net income,篩選清單+數據,"(1) 必須推薦至少 3 家公司 (2) 每家必須附上 FCF 或 FCF margin 的具體數字 (3) 每家必須附上近期 buyback 金額或佔淨利比例的具體數字"
8,"GOOGL 的搜尋業務會不會被 ChatGPT 這類 AI 搶走？他們自己怎麼看？",v2,competitive_threat,Google 自己的應對策略描述在 10-K MD&A 中且比新聞報導更具體,10-K MD&A + Risk Factors,公司觀點摘要+分析,"(1) 必須引用或摘要 GOOGL 官方文件（10-K 或 earnings call）中對 AI 競爭的具體回應 (2) 必須提到 Google 自己的 AI 產品應對（如 Gemini、AI Overview 等） (3) 不能只有媒體觀點，必須有公司自己的說法"
9,"AWS 最近成長是不是在放慢？跟 Azure 比起來呢？",v2+v3,segment_comparison,需要 AMZN 和 MSFT 各自多季 cloud segment revenue(v3) + 10-K 中對放緩的解釋(v2),quarterly cloud segment data + 10-K MD&A,數據比較+公司解釋,"(1) 必須提供 AWS 和 Azure 各自近 2+ 季的 revenue 或 YoY growth 具體數字 (2) 必須明確比較兩者的成長速度差異 (3) 必須提到至少一個成長放緩或加速的原因（來自公司解釋而非猜測）"
10,"如果美國經濟衰退，這幾支科技股裡哪些最抗跌？（AAPL MSFT GOOGL AMZN META NVDA）",v3,defensive_analysis,需要比較 margin stability + recurring revenue 比例 + balance sheet strength 等多維指標,gross margin trend + debt ratio + recurring revenue %,排名+理由,"(1) 必須對 6 家都給出判斷而非只挑幾家講 (2) 必須用至少兩個財務維度來支撐排名（如 recurring revenue 比例、margin 穩定性、balance sheet 強度） (3) 每個維度必須有具體數字而非只有定性描述"
