id,question,target_version,category,why_v1_likely_fails,data_sources_needed,expected_answer_type,pass_criteria,tool_bucket,flags
1,What is Apple's current stock price? And the 52-week high and low?,v1,simple_quote,V1 should pass cleanly; exercises basic yfinance_stock_quote — currentPrice and 52w high/low are all in the default 5-field response,yfinance currentPrice + fiftyTwoWeekHigh/Low,Current quote numbers,(1) Must provide a specific currentPrice number (2) Must provide specific 52-week high and low numbers (3) Answer structure is clear (bullets or prose both fine),1,[]
2,What's the difference between Nvidia's forward PE and trailing PE right now?,v1,simple_quote,V1 should pass cleanly; forward/trailing PE are both in the default 5 fields — no fields discovery needed,yfinance forwardPE + trailingPE,Two numbers + difference,(1) Must provide a specific forward PE number (2) Must provide a specific trailing PE number (3) Must calculate or explicitly state the difference between them,1,[]
3,What are Microsoft's current dividend yield and ROE roughly?,v1,simple_quote,dividendYield and returnOnEquity are not in the default 5 fields; V1 must call yfinance_get_available_fields first; common failure is calling quote directly for fields that don't exist,yfinance dividendYield + returnOnEquity,Two percentage numbers,(1) Must provide a specific dividend yield number (2) Must provide a specific ROE number (3) Units are explicit (percentage or decimal),1,"[""arg:yfinance_fields_discovery""]"
4,What are Meta's current profit margin and operating margin?,v1,simple_quote,Both margins are not in the default 5 fields; V1 must do fields discovery first,yfinance profitMargin + operatingMargin,Two percentage numbers,(1) Must provide a specific profit margin number (2) Must provide a specific operating margin number (3) Answer explains the distinction or relationship between the two (gross-style vs operating-style),1,"[""arg:yfinance_fields_discovery""]"
5,"Put Apple, Microsoft, Google, and Amazon's forward PE, trailing PE, and market cap into a table for me.",v1,simple_quote,marketCap is not in the default fields (requires fields discovery); 4 tickers × 3 fields = 12 data points needing multiple yfinance calls; answer requires markdown table structure,yfinance forwardPE + trailingPE + marketCap × 4 tickers,Markdown table,(1) Must cover all 4 companies (2) Must provide specific numbers for forward PE / trailing PE / market cap across three columns (3) Must be rendered as a markdown table,1,"[""format:table"",""arg:yfinance_fields_discovery""]"
6,Has Nvidia had any noteworthy news this past week?,v1,news_lookup,V1 should retrieve NVDA news from reuters/bloomberg/cnbc via Tavily; query must be English and ticker arg must be NVDA; common failure is a query lacking a time qualifier,Tavily news search,News summary with key events,(1) Must list at least 2 specific news events (2) Each must include a source URL or source name (3) Must indicate recency or timing of each item,2,"[""arg:tavily_query_quality""]"
7,What were the key points from Tesla's most recent earnings call?,v1,news_lookup,"Must translate ""most recent earnings call"" into an English query; with sources limited to the 3 trusted domains, V1 likely gets summaries (Reuters/CNBC) rather than a full transcript",Tavily news on Tesla recent earnings,Key points summary,"(1) Must cover at least 3 earnings call topics (vehicle deliveries, margin, energy, etc.) (2) Must include source URL (3) Must include at least one quantitative detail (specific number)",2,"[""arg:tavily_query_quality""]"
8,Has Meta launched any new products or features recently?,v1,news_lookup,"Query must be specific enough (include ""product launch"" or ""new feature""); otherwise Tavily returns generic Meta news",Tavily product launch news,Product launch list + description,(1) Must list at least 1 specific product/feature name (2) Must include launch or announcement date (3) Must include source URL,2,"[""arg:tavily_query_quality""]"
9,Has Amazon had any big AWS-related news recently?,v1,news_lookup,"Query must include ""AWS"" rather than just ""Amazon news""; common failure is pulling retail/Prime Day news off-topic",Tavily AWS-specific news,AWS-related news summary,(1) At least 2 items genuinely AWS-related (not pure retail/Prime Day news) (2) Must include source URL (3) Content must be about cloud computing business (no topic drift),2,"[""arg:tavily_query_quality""]"
10,How has Apple's analyst coverage looked lately? Has anyone lowered their price target?,v1,news_lookup,"Query must include ""analyst rating"" / ""price target"" terms; retrieved sources may not all be analyst notes",Tavily analyst rating news,Analyst rating trend summary,(1) Must mention at least 1 specific analyst firm by name (2) Must mention a specific rating action (upgrade/downgrade/maintain) (3) Must mention at least 1 specific price target number,2,"[""arg:tavily_query_quality""]"
