in_draft,items,query_type,generation_mode,question,snippet_preview,candidate_id,ticker,approved,reviewer_comment
yes,1a/7,multi_passage,passage_first,"How much went to private startups, and what threatens recovery?","We invested $17.5 billion in private companies and infrastructure funds, primari",a01,NVDA,x,我看不懂 query 所謂 How much 是在問什麼的 how much
yes,1a,multi_passage,passage_first,Contractual exposure arising from Datadog's platform outage history,"For example, in March 2023, our platform experienced widespread outages across m",a02,DDOG,o,
yes,1a,multi_passage,passage_first,How could artificial intelligence reshape staffing needs and employee capabilities?,It is also possible that JPMorganChase could miscalibrate its workforce planning,a05,JPM,o,
yes,1a,multi_passage,passage_first,Why do enforcement gaps around illicit incretins threaten Lilly?,Our reputation and business could suffer harm as a result of counterfeit or mass,p03,LLY,o,
yes,1a,multi_passage,passage_first,GLP-1 adoption effects on diabetes demand and Insulet shares,"Further, increased availability and adoption of the GLP-1 class of drugs may del",p04,PODD,?,2 個 evidence 整體段落正確，但重點段落需要更長，目前沒覆蓋到回應題目的重點
yes,1a,multi_passage,passage_first,How can rising rates trigger loan losses and capital constraints?,Higher interest rates could also negatively affect the payment performance on lo,p05,JPM,?,我不懂 evidence 2 跟 query 的關聯
yes,1a,multi_passage,passage_first,How did Deribit deepen Coinbase's vulnerability to cyberattacks?,"For example, as a result of our acquisition of Deribit in August 2025, we now pr",p06,COIN,x,看不出來 evidence 跟 vulnerability to cyberattacks 有什麼關係
yes,1a,multi_passage,passage_first,What risks arise from unprofitable AI investments and scarce GPUs?,"Failure to realize the benefits of amounts we invest in new technologies, produc",p07,AMZN,?,但我覺得不是很好的題目，關係不明顯
yes,1a,multi_passage,passage_first,Key partner and sheepskin processor concentration vulnerabilities,Our dependence on a limited number of key manufacturing partners may increase ou,p08,DECK,?,"兩個 evidence block 內容有 cover 到 query, 但粗體字不是最關鍵的，或是需要涵蓋更多句"
yes,1a,multi_passage,passage_first,How laws complicate Alphabet's content and youth-safety controls,We face legal and regulatory challenges to our efforts to address low-quality co,p09,GOOGL,o,
yes,1a,multi_passage,passage_first,Cat Financial contingency funding and Dodd-Frank compliance burdens,Cat Financial also could be required to draw upon contractually committed lendin,p10,CAT,x,query 一次問兩個相關度很低的問題
yes,1a,multi_passage,passage_first,Operational failures and IP litigation arising from Axon's AI use,"For example, unexpected failures or inaccuracies in AI-driven systems could expo",p11,AXON,?,"query 一次問兩個子問題, 這兩個 evidence 反推應該可以只是純粹單一一個問題"
yes,1a,multi_passage,passage_first,"How large is Costco's overseas footprint, and how may expansion affect currency risk?","At the end of 2025, we operated 285 warehouses outside of the U.S. (31% of all w",p12,COST,?,第二個 evidence 不確定總長多長，block 之外應該還有符合的內容
yes,1a,multi_passage,passage_first,Duane Arnold revival dependencies and financial effects of nuclear mandates,"Additionally, NEER is actively pursuing the restart of the Duane Arnold nuclear ",p14,NEE,x,query 一次問兩個相關度很低的問題
yes,1a,multi_passage,passage_first,Which portfolio region faces both business slowdowns and earthquake exposure?,"Business layoffs, downsizing, industry slowdowns, changing demographics and othe",p15,PLD,o,
yes,7,passage,intent_first,"Linde project exposure to materials, staffing, inflation, and scope changes",The key source of estimation uncertainty is the total estimated costs at complet,p16,LIN,?,我覺得整個 block 才能夠回答問題，光是粗體沒辦法回答
yes,7,passage,intent_first,NVIDIA reliance on large downstream buyers and AI lab demand,We estimate that one AI research and deployment company contributed to a meaning,p17,NVDA,?,我覺得題目可以簡化成對大型下游買家的依賴程度就好，然後 evidence 再找過，也可以不止一個 evidence
yes,7,passage,intent_first,How can trade barriers affect Datadog’s growth and results?,Unfavorable conditions in the economy both in the United States and abroad may n,p18,DDOG,?,粗體字拿的不精準，應該比 markdown 更下面的內容才是重點
yes,7,passage,intent_first,competitive threats facing Lilly’s incretin franchise,"We continue to see the production, marketing, and sale of counterfeit, misbrande",p19,LLY,x,evidence 沒有回答到 query
yes,7,passage,intent_first,What threatens collection of the EOFlow trade-secret award?,We have not recorded the damages awarded in our consolidated statements of incom,p20,PODD,o,
yes,7,passage,intent_first,Coinbase domestic versus overseas revenue mix and foreign revenue source,"For the years ended December 31, 2025 and 2024 we generated 84% and 83%, respect",p21,COIN,?,沒涵蓋的海外營收來源，需要多個 evidence
