id,question,company_universe,category,expected_answer_type,time_sensitivity,question_style,capability_band,expected_near_v1_behavior,primary_failure_mechanism,secondary_failure_mechanism,expected_best_source,likely_tuning_lever,why_near_v1_might_fail_or_pass,draft_pass_signals
1,"Does Tesla's latest wave of bad news look more like a short-term shock, or has it started to damage the long-term investment thesis?","Tesla","recent_news_or_event_impact","Recent event summary + investment thesis judgment","recent","natural","core","should_pass","tool_routing_error","evidence_synthesis_limit","Tavily","none","This is a single-company recent-news question, and the trusted domains should in principle provide enough coverage. The key is whether near-V1 can first identify the main events, then judge whether the issue is a short-term shock or a structural pressure in a conservative but clear way.","[""Mention at least two specific events or signals"",""Distinguish short-term shock from structural pressure"",""Tie the conclusion clearly back to recent news evidence""]"
2,"With Disney's recent troubles, should you really be watching streaming, the box office, or signals from the parks business?","Disney","recent_news_or_event_impact","Segment signal prioritization + recent narrative judgment","recent","natural","boundary","may_pass_with_tuning","source_coverage_gap","evidence_synthesis_limit","mixed","max_tool_calls","This question requires connecting the recent news narrative to the company's longer-term segment structure. Near-V1 may latch onto a single news event and miss the relative importance of different business segments.","[""Cover signals from at least two different business segments"",""State clearly which segment matters most right now"",""Preserve uncertainty where segment-level evidence is insufficient""]"
3,"Are Boeing's recent problems mainly about regulation, deliveries, or demand?","Boeing","recent_news_or_event_impact","Root-cause attribution + recent risk prioritization","recent","natural","boundary","may_pass_with_tuning","tool_routing_error","source_coverage_gap","mixed","tool_description","The wording sounds like a news question, but looking only at news can easily mix several narratives together. Near-V1 needs to choose the right source first, then separate regulation, deliveries, and demand cleanly.","[""Separate the regulation, delivery, and demand narratives"",""Identify which one is currently the main driver"",""Do not treat market mood as a confirmed fact""]"
4,"There is a lot of noise around the AI cycle and export restrictions lately. Which company is more directly exposed, TSMC or ASML Holding? If the evidence is not enough, say so clearly.","台積電|ASML Holding","recent_news_or_event_impact","Relative exposure comparison + uncertainty disclosure","recent","natural","boundary","should_fail_cleanly","overreach_vs_abstain","source_coverage_gap","Tavily","tavily_sources","This question is intentionally placed in a news-coverage-gap setting, and these companies are not a typical SEC-first case. If evidence is insufficient, near-V1 should stay conservative rather than turning supply-chain narratives into confirmed company-specific risk.","[""Make the relative judgment only from confirmable news"",""State clearly which parts cannot be confirmed yet"",""Do not package macro narratives as company-specific facts""]"
5,"Are Intel's recent negative news items already enough to conclude that the fundamentals have truly worsened?","Intel","recent_news_or_event_impact","News vs fundamentals distinction + evidence-boundary explanation","recent","natural","beyond_boundary","should_fail_cleanly","source_coverage_gap","overreach_vs_abstain","Tavily","tavily_sources","This question specifically tests whether near-V1 gets pulled around by high-volatility news. If the trusted domains do not provide enough confirmable information, the correct behavior is to explain the evidence boundary clearly.","[""Distinguish negative news from confirmed facts"",""If evidence is insufficient, state that a strong conclusion cannot be made"",""Only describe the level of risk that can actually be confirmed""]"
6,"Analyze Johnson & Johnson's biggest current litigation risk, and distinguish between costs that are already visible and parts that may or may not continue to expand.","Johnson & Johnson","regulatory_or_legal_risk","Legal risk breakdown + known/unknown distinction","stable","analysis","core","should_pass","tool_routing_error","overreach_vs_abstain","SEC","none","The point here is whether near-V1 routes correctly to SEC rather than getting pulled toward general news. Official disclosures should be enough to support a high-level breakdown of what is known versus what remains uncertain.","[""Distinguish known costs from unresolved uncertainty"",""Use official disclosures as the primary basis"",""Provide a clear risk conclusion""]"
7,"With Google's antitrust risk right now, which parts are already happening and which parts are still only potential pressure?","Google","regulatory_or_legal_risk","Occurred vs potential risk distinction","recent","natural","boundary","may_pass_with_tuning","tool_routing_error","evidence_synthesis_limit","mixed","tool_description","The wording is natural, but the answer really requires mapping recent antitrust developments to the specific business areas affected. Near-V1 may only extract news headlines and fail to layer the risks properly.","[""Cover at least two major antitrust fronts"",""Distinguish between actions already underway and still-potential pressure"",""Do not treat media speculation as something already finalized""]"
8,"For a large bank like JPMorgan, do the current regulatory and capital requirements already show signs of long-term damage in the official disclosures?","JPMorgan","regulatory_or_legal_risk","Official disclosure interpretation + long-term impact judgment","stable","natural","boundary","may_pass_with_tuning","tool_routing_error","overreach_vs_abstain","SEC","prompt","This question tests whether near-V1 can compress an abstract regulatory pressure into concrete risk visible in official disclosures. If SEC materials do not directly support a strong conclusion, it should stay conservative.","[""Answer primarily from official disclosures"",""Distinguish short-term pressure from long-term earnings-power damage"",""Do not overstate parts without direct evidence""]"
9,"Analyze, under the new environment where Europe and the US are regulating large platforms more aggressively, whether Apple or Meta faces the larger direct business impact.","Apple|Meta","regulatory_or_legal_risk","Two-company regulatory impact comparison","recent","analysis","boundary","may_pass_with_tuning","evidence_synthesis_limit","tool_routing_error","mixed","max_tool_calls","This requires comparing which business lines are directly affected at each company, not just stacking regulatory buzzwords. Near-V1 may miss one side because it is a mixed-source, two-company comparison.","[""Compare the specific business areas affected at both companies"",""Distinguish between already-implemented compliance changes and potential business impact"",""Give a relative judgment rather than a flat summary""]"
10,"With US and European regulation tightening, which company has the hardest-to-quantify risk: Apple, Google, or Meta?","Apple|Google|Meta","regulatory_or_legal_risk","Multi-company risk quantifiability comparison","recent","natural","beyond_boundary","may_pass_with_tuning","multi_entity_overload","source_coverage_gap","mixed","max_tool_calls","This intentionally puts three regulatory narratives together to see whether near-V1 loses comparative ability or becomes overconfident when handling multiple companies and events at once.","[""Explain how the sources of risk differ across all three companies"",""Identify which company's risk is hardest to quantify and why"",""Preserve uncertainty where direct comparison is not possible""]"
