question,target_ticker,target_entity_en
What supply chain risks does Google's latest earnings report mention?,GOOGL,Google
What competitive pressures does Google's cloud business face?,GOOGL,Google
What AI regulatory challenges has Google disclosed?,GOOGL,Google
What competitive advantages does Microsoft have in generative AI?,MSFT,Microsoft
Where is the revenue growth momentum in Microsoft's cloud business coming from?,MSFT,Microsoft
What risks does Microsoft's partnership with OpenAI bring to its operations?,MSFT,Microsoft
What are the latest growth trends in Apple's services business?,AAPL,Apple
What risks does Apple face in the Chinese market?,AAPL,Apple
What supply chain concentration issues affect Apple's hardware products?,AAPL,Apple
What customer concentration risks does NVIDIA face?,NVDA,NVIDIA
Where does NVIDIA's competitive advantage in data center GPUs come from?,NVDA,NVIDIA
To what extent is NVIDIA affected by US export controls?,NVDA,NVIDIA
What progress has AMD made competing with Intel in the data center market?,AMD,AMD
What is AMD's strategy for its AI accelerator products?,AMD,AMD
What supply chain and manufacturing process dependency risks does AMD face?,AMD,AMD
What challenges has Intel faced in its process technology transition?,INTC,Intel
What is the strategy and risk profile of Intel's foundry business?,INTC,Intel
What is Intel's competitive positioning in the AI-chip market?,INTC,Intel
